n,Lambda,Condition,Lambda_2,Covariate Condition
1694,0.00047894736842105264,228.38257608507848,0.0033684210526315787,147.02915697738024
1699,0.0003842105263157895,287.1628026622624,0.003842105263157895,130.35706170283103
1704,0.0005263157894736842,211.01383702839956,0.003842105263157895,131.15357308631428
1708,0.0004315789473684211,246.0850174433051,0.00431578947368421,114.85210066407183
1713,0.0005736842105263159,193.2827372872996,0.004789473684210526,103.65227364260834
1718,0.0004315789473684211,252.20201917380717,0.003842105263157895,130.57896954038443
1723,0.0003842105263157895,278.2519746290833,0.003842105263157895,130.32879279698827
1728,0.0004315789473684211,252.25527219544966,0.0019473684210526317,260.0775069859205
1733,0.00047894736842105264,230.05829125836206,0.0028947368421052624,174.02722788695368
1737,0.00047894736842105264,227.35070485902708,0.0033684210526315787,147.35043816766034
1742,0.00047894736842105264,226.39827197996308,0.003842105263157895,129.73758673227925
1747,0.00047894736842105264,228.0393522098944,0.002421052631578947,205.12175921553361
1752,0.00047894736842105264,227.19580954980478,0.003842105263157895,129.48296372229473
1757,0.00047894736842105264,229.53984969298025,0.005263157894736842,95.1627689896307
1762,0.00047894736842105264,231.19542796023467,0.004789473684210526,105.00544577956958
1766,0.00033684210526315785,324.5865882280552,0.00431578947368421,115.82938517963305
1771,0.00047894736842105264,237.83719173053882,0.003842105263157895,131.5145880809037
1776,0.0003842105263157895,286.7918907066347,0.003842105263157895,130.53691193286537
1781,0.0005263157894736842,212.25925962987242,0.004789473684210526,104.49330092383018
1786,0.00047894736842105264,229.69248752648983,0.003842105263157895,129.0733418795744
1791,0.00047894736842105264,228.29170158990513,0.003842105263157895,129.26741026119123
1795,0.00047894736842105264,231.3912791639396,0.003842105263157895,129.8536401081571
1800,0.0003842105263157895,287.8606574235699,0.002421052631578947,205.93917795482392
1805,0.00047894736842105264,229.12454360466006,0.003842105263157895,130.22898379142953
1810,0.0004315789473684211,255.59874793696173,0.0033684210526315787,150.13776480881378
1815,0.00047894736842105264,232.94563113716563,0.0014736842105263163,339.3034170924013
1820,0.0004315789473684211,251.82774568134974,0.0028947368421052624,173.36655701208758
1824,0.00047894736842105264,222.60860761388983,0.0033684210526315787,145.53878638728887
1829,0.00047894736842105264,228.1934499596496,0.0033684210526315787,147.8542355499191
1834,0.00047894736842105264,229.86549684695865,0.004789473684210526,105.01476405072911
1839,0.00047894736842105264,228.28412918246337,0.0033684210526315787,148.035712266292
1844,0.0003842105263157895,287.8376664750838,0.0028947368421052624,171.32574870011447
1849,0.0004315789473684211,253.05300740440748,0.003842105263157895,129.57801487257905
1853,0.0005263157894736842,210.36411439441275,0.004789473684210526,104.48892191908618
1858,0.0004315789473684211,249.47092211426454,0.002421052631578947,204.19197836595043
1863,0.0004315789473684211,254.69411585803465,0.0033684210526315787,149.23027178946185
1868,0.0003842105263157895,289.48384579315507,0.00431578947368421,117.21887999815058
1873,0.0004315789473684211,262.1606680076588,0.004789473684210526,105.12887304607413
1878,0.0003842105263157895,289.8120523118323,0.003842105263157895,133.30943398902716
1883,0.0005263157894736842,213.03007704498512,0.0033684210526315787,148.54505138923798
1887,0.00047894736842105264,231.8783368325261,0.0028947368421052624,175.4137790287265
1892,0.00047894736842105264,230.79850206332816,0.0028947368421052624,173.33931692553915
1897,0.0004315789473684211,250.31188275940775,0.0028947368421052624,172.89611927394398
1902,0.0004315789473684211,257.51954083370026,0.003842105263157895,130.78348109059712
1907,0.00047894736842105264,230.5666309280545,0.003842105263157895,129.65163000998524
1912,0.00047894736842105264,229.7041482641843,0.0028947368421052624,172.45208524494768
1916,0.0005736842105263159,190.43426626383294,0.003842105263157895,130.43552571958796
1921,0.0004315789473684211,259.0576232432128,0.003842105263157895,129.80014728089748
1926,0.0003842105263157895,290.8926082520522,0.0028947368421052624,173.67570860745224
1931,0.0004315789473684211,259.4950046878821,0.0033684210526315787,150.1378813573007
1936,0.0004315789473684211,256.8972502580665,0.0033684210526315787,149.73201813010633
1941,0.0005263157894736842,206.3039543286157,0.003842105263157895,129.4542665770441
1945,0.0003842105263157895,286.4625565664707,0.0033684210526315787,148.42664796830684
1950,0.0003842105263157895,283.4141244256845,0.0033684210526315787,147.93389606694578
1955,0.0003842105263157895,280.07591019481094,0.002421052631578947,204.2014010558478
1960,0.0004315789473684211,259.7125977692977,0.0033684210526315787,149.52676121711866
1965,0.0003842105263157895,284.585120091172,0.0028947368421052624,172.56477082947868
1970,0.0003842105263157895,288.0703022768982,0.002421052631578947,207.80058923672195
1974,0.0004315789473684211,258.2335227002419,0.0033684210526315787,149.15672961873975
1979,0.0004315789473684211,257.63458564703313,0.0033684210526315787,147.70268778056186
1984,0.00033684210526315785,322.114861414162,0.0028947368421052624,172.22634427228093
1989,0.0004315789473684211,253.37213688496533,0.0028947368421052624,170.48339461928117
1994,0.0004315789473684211,255.9327461635999,0.003842105263157895,131.60344980236803
1999,0.0003842105263157895,287.5445551216343,0.0033684210526315787,149.9423872688186
2003,0.0003842105263157895,284.135203157204,0.0033684210526315787,147.73824748566906
2008,0.0004315789473684211,256.7082786554681,0.0019473684210526317,256.3974048837942
2013,0.0004315789473684211,259.8382706326674,0.0019473684210526317,258.13492297567404
2018,0.0004315789473684211,255.77318297229507,0.002421052631578947,208.79425815831698
2023,0.0003842105263157895,287.43280973090486,0.0028947368421052624,172.1278387583868
2028,0.0003842105263157895,284.84310929440704,0.0033684210526315787,148.30546767091775
2032,0.0003842105263157895,290.70366276379303,0.0033684210526315787,148.4455272854442
2037,0.0004315789473684211,253.72282554922938,0.0033684210526315787,147.87867538100454
2042,0.0003842105263157895,286.69152712502233,0.0033684210526315787,148.80556081691614
2047,0.0004315789473684211,257.12319856225247,0.0028947368421052624,174.43254555471833
2052,0.0003842105263157895,286.84689492669037,0.002421052631578947,206.33588240730248
2057,0.0004315789473684211,256.10925595961515,0.0019473684210526317,256.94468365730694
2061,0.00047894736842105264,230.4740735451044,0.0033684210526315787,147.69656397633773
2066,0.00047894736842105264,228.33974717817995,0.0028947368421052624,172.8915340559196
2071,0.0003842105263157895,287.9675028040036,0.0028947368421052624,173.79135179343913
2076,0.00033684210526315785,326.3170879686571,0.0028947368421052624,173.7658268517247
2081,0.0004315789473684211,258.0419942451014,0.0028947368421052624,171.3593536532223
2086,0.00033684210526315785,330.826610470696,0.0033684210526315787,147.29551455139546
