n,Lambda,Condition,Lambda_2,Covariate Condition
980,0.005,23.67401476693292,0.005,99.74322586835804
985,0.005,23.332582673010695,0.005,101.34630894527906
990,0.005,22.79208149535096,0.005,100.9982677491193
995,0.005,22.983467562043998,0.005,100.59508473319369
1001,0.005,23.753399664169983,0.005,100.88919179021843
1006,0.005,23.00531354845304,0.005,98.75908365770525
1011,0.005,22.757951031198473,0.005,100.7447315822977
1016,0.005,22.85842768125583,0.005,100.54477647074555
1021,0.005,22.79450888662264,0.005,98.70755834590904
1026,0.005,22.89213019054106,0.005,102.35435280418844
1031,0.005,22.617994979547646,0.005,99.99068219960377
1036,0.005,22.60753850267769,0.005,100.3927991725398
1041,0.005,23.02576795944119,0.005,98.47329504964169
1046,0.005,23.207916769155627,0.005,104.24617139059882
1051,0.005,22.568737447399933,0.005,99.05275186652544
1056,0.005,22.578728563725132,0.005,101.14643721790564
1061,0.005,23.236724478661987,0.005,101.56386709706686
1066,0.005,23.902699603241654,0.005,101.51823582432837
1071,0.005,23.264810852485617,0.005,101.09317952932469
1076,0.005,23.71513317562042,0.005,101.28456535441583
1081,0.005,22.459400209869145,0.005,101.42022824712828
1086,0.005,21.93939209757633,0.005,97.73023852878778
1091,0.005,23.91440242846155,0.005,101.9713935048587
1096,0.005,23.64891467467893,0.005,100.85891653299171
1101,0.005,22.80315623530681,0.005,98.78031997731883
1106,0.005,23.418915354602163,0.005,102.0528375334464
1111,0.005,23.377506972001974,0.005,100.80090049648203
1116,0.005,22.770067933015852,0.005,100.10655440615622
1121,0.005,23.277908228656536,0.005,99.94684557048393
1126,0.005,23.38974639889686,0.005,99.32409825448329
1131,0.005,22.934690240198616,0.005,99.29243905581065
1136,0.005,22.28665749487571,0.005,100.95087729893663
1141,0.005,22.87321810147731,0.005,100.21178172918833
1146,0.005,23.55380639357967,0.005,101.8779381010939
1151,0.005,23.144749113687574,0.005,103.98952520162743
1156,0.005,22.79706432961346,0.005,99.94180611651646
1161,0.005,23.22189655851054,0.005,100.11175171491467
1166,0.005,23.285813327611578,0.005,101.61736246925224
1171,0.005,22.77962944316521,0.005,98.00000153502914
1176,0.005,23.596902302403368,0.005,100.06363615280674
1181,0.005,23.127485240016362,0.005,100.5152621435474
1186,0.005,23.17786021654221,0.005,100.53997798146644
1191,0.005,23.155353153162846,0.005,102.2059808108856
1196,0.005,22.09414776368188,0.005,99.09659515359733
1201,0.005,24.031242281165937,0.005,101.77485613557583
1206,0.005,22.87366957660881,0.005,100.69994159825819
1211,0.005,22.993789047823988,0.005,101.0190543460129
1216,0.005,23.207459822610485,0.005,101.53567376493464
1221,0.005,23.40866053353619,0.005,99.04202775157607
1226,0.005,22.40447062301294,0.005,99.27761021005229
1231,0.005,22.196614397447618,0.005,100.30856742238997
1236,0.005,22.972721444900927,0.005,102.12514122960594
1241,0.005,22.860579201685415,0.005,102.01452748578187
1246,0.005,24.02245449398379,0.005,102.14019189919708
1251,0.005,22.847729161706823,0.005,100.09513243126014
1256,0.005,23.395493009647197,0.005,102.11575133697825
1261,0.005,23.42512664663369,0.005,102.16400038166476
1266,0.005,23.684138236545923,0.005,101.50476110596097
1271,0.005,22.530733730195347,0.005,99.51496848194195
1276,0.005,23.15620637339106,0.005,100.70220928999316
1281,0.005,22.904135645891532,0.005,98.76892340468979
1286,0.005,23.759462011307463,0.005,101.05330399121756
1291,0.005,22.996728071401805,0.005,100.34247944642537
1296,0.005,22.96561357924591,0.005,100.27878419997512
1301,0.005,23.909928816755137,0.005,102.11248202433505
1306,0.005,22.87919626730051,0.005,98.8976138888224
1311,0.005,22.9340328644513,0.005,100.87371572633967
1316,0.005,21.963854093255566,0.005,99.05788394008499
1321,0.005,23.084818107785484,0.005,99.66291334168267
1326,0.005,22.194333173444036,0.005,97.17466794049034
1331,0.005,22.58365983924024,0.005,100.95495764569725
1336,0.005,22.780537721328372,0.005,98.68885545135426
1341,0.005,22.812983007376797,0.005,99.22200624505632
1346,0.005,22.436945514275983,0.005,98.30953588347
1351,0.005,22.53318210885987,0.005,99.04421882081931
1356,0.005,22.82603832323507,0.005,100.2854460279326
1361,0.005,23.3152513935468,0.005,101.1057744725693
1366,0.005,22.438011684968938,0.005,98.75145425527646
1371,0.005,22.989996458206402,0.005,99.91699859768717
1376,0.005,23.268036061724235,0.005,101.33068060523564
1381,0.005,23.34453835864881,0.005,98.95421764835409
1386,0.005,23.306291942816113,0.005,102.21894504737907
1391,0.005,23.136753640009957,0.005,101.59357701742368
1396,0.005,23.343590970365277,0.005,100.27085674285281
1401,0.005,22.877149347502375,0.005,100.99860348742125
