Lambda,Condition,Condition Number
0.508973974,1.216096767,1.976440803
0.50996997,1.21567472,1.974533767
0.510965966,1.215254318,1.972634165
0.511961962,1.214835552,1.970741955
0.512957958,1.214418412,1.968857092
0.513953954,1.214002889,1.966979536
0.51494995,1.213588974,1.965109242
0.515945946,1.213176656,1.963246169
0.516941942,1.212765927,1.961390275
0.517937938,1.212356778,1.959541519
0.518933934,1.211949199,1.95769986
0.51992993,1.211543182,1.955865256
0.520925926,1.211138718,1.954037668
0.521921922,1.210735797,1.952217055
0.522917918,1.210334411,1.950403378
0.523913914,1.209934551,1.948596597
0.52490991,1.209536209,1.946796672
0.525905906,1.209139375,1.945003565
0.526901902,1.208744042,1.943217236
0.527897898,1.2083502,1.941437649
0.528893894,1.207957842,1.939664763
0.52988989,1.207566959,1.937898543
0.530885886,1.207177542,1.93613895
0.531881882,1.206789584,1.934385947
0.532877878,1.206403076,1.932639496
0.533873874,1.206018011,1.930899563
0.53486987,1.205634379,1.929166109
0.535865866,1.205252174,1.927439099
0.536861862,1.204871386,1.925718497
0.537857858,1.204492009,1.924004267
0.538853854,1.204114034,1.922296374
0.53984985,1.203737454,1.920594784
0.540845846,1.203362261,1.91889946
0.541841842,1.202988448,1.917210369
0.542837838,1.202616006,1.915527476
0.543833834,1.202244928,1.913850748
0.54482983,1.201875207,1.91218015
0.545825826,1.201506835,1.910515648
0.546821822,1.201139806,1.908857211
0.547817818,1.20077411,1.907204803
0.548813814,1.200409743,1.905558394
0.54980981,1.200046695,1.903917949
0.550805806,1.19968496,1.902283437
0.551801802,1.199324531,1.900654826
0.552797798,1.198965401,1.899032083
0.553793794,1.198607563,1.897415177
0.55478979,1.198251009,1.895804077
0.555785786,1.197895734,1.894198751
0.556781782,1.197541729,1.892599169
0.557777778,1.197188989,1.891005299
0.558773774,1.196837506,1.889417111
0.55976977,1.196487274,1.887834575
0.560765766,1.196138286,1.886257661
0.561761762,1.195790536,1.884686338
0.562757758,1.195444017,1.883120577
0.563753754,1.195098722,1.881560349
0.56474975,1.194754645,1.880005624
0.565745746,1.194411779,1.878456373
0.566741742,1.194070119,1.876912567
0.567737738,1.193729657,1.875374178
0.568733734,1.193390388,1.873841178
0.56972973,1.193052305,1.872313537
0.570725726,1.192715402,1.870791228
0.571721722,1.192379672,1.869274223
0.572717718,1.192045111,1.867762495
0.573713714,1.191711711,1.866256016
0.57470971,1.191379467,1.864754758
0.575705706,1.191048372,1.863258694
0.576701702,1.190718421,1.861767798
0.577697698,1.190389608,1.860282043
0.578693694,1.190061926,1.858801402
0.57968969,1.189735371,1.85732585
0.580685686,1.189409936,1.855855358
0.581681682,1.189085615,1.854389903
0.582677678,1.188762403,1.852929458
0.583673674,1.188440294,1.851473997
0.58466967,1.188119283,1.850023494
0.585665666,1.187799363,1.848577926
0.586661662,1.18748053,1.847137265
0.587657658,1.187162777,1.845701488
0.588653654,1.1868461,1.84427057
0.58964965,1.186530492,1.842844486
0.590645646,1.186215949,1.841423211
0.591641642,1.185902465,1.840006721
0.592637638,1.185590034,1.838594993
0.593633634,1.185278652,1.837188002
0.59462963,1.184968313,1.835785724
0.595625626,1.184659012,1.834388136
0.596621622,1.184350744,1.832995215
0.597617618,1.184043503,1.831606936
0.598613614,1.183737285,1.830223277
0.59960961,1.183432084,1.828844214
0.600605606,1.183127895,1.827469726
0.601601602,1.182824713,1.826099788
0.602597598,1.182522534,1.824734379
0.603593594,1.182221352,1.823373477
0.60458959,1.181921162,1.822017058
0.605585586,1.18162196,1.820665101
0.606581582,1.18132374,1.819317584
0.607577578,1.181026498,1.817974484
0.608573574,1.180730228,1.816635781
0.60956957,1.180434928,1.815301453
0.610565566,1.18014059,1.813971478
0.611561562,1.179847211,1.812645835
0.612557558,1.179554786,1.811324503
0.613553554,1.179263311,1.81000746
0.61454955,1.17897278,1.808694687
0.615545546,1.17868319,1.807386162
0.616541542,1.178394535,1.806081865
0.617537538,1.178106811,1.804781775
0.618533534,1.177820014,1.803485872
0.61952953,1.17753414,1.802194136
0.620525526,1.177249182,1.800906547
0.621521522,1.176965138,1.799623084
0.622517518,1.176682004,1.798343728
0.623513514,1.176399773,1.797068459
0.62450951,1.176118443,1.795797259
0.625505506,1.175838009,1.794530106
0.626501502,1.175558466,1.793266983
0.627497497,1.175279811,1.792007869
0.628493493,1.175002039,1.790752746
0.629489489,1.174725146,1.789501595
0.630485485,1.174449128,1.788254396
0.631481481,1.17417398,1.787011132
0.632477477,1.173899699,1.785771784
0.633473473,1.173626281,1.784536333
0.634469469,1.173353721,1.78330476
0.635465465,1.173082015,1.782077049
0.636461461,1.17281116,1.780853179
0.637457457,1.172541151,1.779633135
0.638453453,1.172271985,1.778416896
0.639449449,1.172003657,1.777204447
0.640445445,1.171736163,1.775995769
0.641441441,1.171469501,1.774790844
0.642437437,1.171203665,1.773589655
0.643433433,1.170938652,1.772392185
0.644429429,1.170674459,1.771198417
0.645425425,1.17041108,1.770008333
0.646421421,1.170148514,1.768821916
0.647417417,1.169886755,1.76763915
0.648413413,1.169625801,1.766460017
0.649409409,1.169365646,1.765284501
0.650405405,1.169106289,1.764112585
0.651401401,1.168847725,1.762944253
0.652397397,1.16858995,1.761779488
0.653393393,1.168332961,1.760618275
0.654389389,1.168076755,1.759460596
0.655385385,1.167821327,1.758306436
0.656381381,1.167566674,1.757155778
0.657377377,1.167312793,1.756008608
0.658373373,1.16705968,1.754864908
0.659369369,1.166807332,1.753724663
0.660365365,1.166555745,1.752587858
0.661361361,1.166304915,1.751454477
0.662357357,1.166054841,1.750324504
0.663353353,1.165805517,1.749197925
0.664349349,1.16555694,1.748074723
0.665345345,1.165309108,1.746954885
0.666341341,1.165062017,1.745838394
0.667337337,1.164815663,1.744725235
0.668333333,1.164570044,1.743615395
0.669329329,1.164325155,1.742508858
0.670325325,1.164080994,1.741405608
0.671321321,1.163837558,1.740305633
0.672317317,1.163594843,1.739208917
0.673313313,1.163352846,1.738115445
0.674309309,1.163111564,1.737025203
0.675305305,1.162870994,1.735938178
0.676301301,1.162631132,1.734854354
0.677297297,1.162391976,1.733773717
0.678293293,1.162153522,1.732696255
0.679289289,1.161915767,1.731621952
0.680285285,1.161678709,1.730550795
0.681281281,1.161442344,1.729482769
0.682277277,1.161206668,1.728417862
0.683273273,1.16097168,1.72735606
0.684269269,1.160737376,1.726297348
0.685265265,1.160503753,1.725241714
0.686261261,1.160270808,1.724189144
0.687257257,1.160038539,1.723139626
0.688253253,1.159806941,1.722093144
0.689249249,1.159576013,1.721049687
0.690245245,1.159345752,1.720009242
0.691241241,1.159116153,1.718971795
0.692237237,1.158887216,1.717937333
0.693233233,1.158658937,1.716905843
0.694229229,1.158431312,1.715877314
0.695225225,1.15820434,1.714851731
0.696221221,1.157978017,1.713829083
0.697217217,1.15775234,1.712809356
0.698213213,1.157527308,1.711792539
0.699209209,1.157302917,1.710778618
0.700205205,1.157079164,1.709767582
0.701201201,1.156856046,1.708759419
0.702197197,1.156633562,1.707754115
0.703193193,1.156411708,1.706751659
0.704189189,1.156190481,1.705752038
0.705185185,1.15596988,1.704755242
0.706181181,1.1557499,1.703761257
0.707177177,1.15553054,1.702770072
0.708173173,1.155311798,1.701781675
0.709169169,1.155093669,1.700796054
0.710165165,1.154876153,1.699813198
0.711161161,1.154659246,1.698833096
0.712157157,1.154442945,1.697855734
0.713153153,1.154227249,1.696881103
0.714149149,1.154012154,1.69590919
0.715145145,1.153797659,1.694939984
0.716141141,1.15358376,1.693973474
0.717137137,1.153370455,1.693009649
0.718133133,1.153157742,1.692048497
0.719129129,1.152945618,1.691090008
0.720125125,1.152734081,1.69013417
0.721121121,1.152523128,1.689180973
0.722117117,1.152312758,1.688230405
0.723113113,1.152102966,1.687282455
0.724109109,1.151893752,1.686337113
0.725105105,1.151685113,1.685394369
0.726101101,1.151477046,1.68445421
0.727097097,1.151269549,1.683516628
0.728093093,1.151062619,1.68258161
0.729089089,1.150856255,1.681649147
0.730085085,1.150650455,1.680719228
0.731081081,1.150445214,1.679791843
0.732077077,1.150240533,1.678866982
0.733073073,1.150036407,1.677944633
0.734069069,1.149832836,1.677024788
0.735065065,1.149629816,1.676107435
0.736061061,1.149427345,1.675192565
0.737057057,1.149225422,1.674280167
0.738053053,1.149024044,1.673370232
0.739049049,1.148823208,1.67246275
0.740045045,1.148622913,1.67155771
0.741041041,1.148423157,1.670655103
0.742037037,1.148223937,1.669754919
0.743033033,1.14802525,1.668857148
0.744029029,1.147827096,1.667961781
0.745025025,1.147629472,1.667068808
0.746021021,1.147432375,1.66617822
0.747017017,1.147235804,1.665290006
0.748013013,1.147039756,1.664404157
0.749009009,1.14684423,1.663520665
0.750005005,1.146649223,1.662639519
0.751001001,1.146454733,1.66176071
0.751996997,1.146260759,1.660884229
0.752992993,1.146067297,1.660010067
0.753988989,1.145874347,1.659138214
0.754984985,1.145681906,1.658268662
0.755980981,1.145489972,1.657401401
0.756976977,1.145298543,1.656536422
0.757972973,1.145107617,1.655673716
0.758968969,1.144917192,1.654813274
0.759964965,1.144727266,1.653955088
0.760960961,1.144537838,1.653099149
0.761956957,1.144348904,1.652245447
0.762952953,1.144160464,1.651393974
0.763948949,1.143972516,1.650544721
0.764944945,1.143785056,1.64969768
0.765940941,1.143598085,1.648852841
0.766936937,1.143411599,1.648010197
0.767932933,1.143225596,1.647169739
0.768928929,1.143040076,1.646331458
0.769924925,1.142855035,1.645495346
0.770920921,1.142670473,1.644661394
0.771916917,1.142486387,1.643829595
0.772912913,1.142302775,1.642999939
0.773908909,1.142119636,1.642172418
0.774904905,1.141936968,1.641347025
0.775900901,1.141754769,1.640523751
